epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5486,3.04377,14.0075,2.42687,0.00063,0.33333,0.00049,0.00026,2.73265,12.3704,1.89789,0.0003,0.0003,0.0003
2,165.748,2.2695,9.0843,1.67977,0.00083,0.44444,0.00082,0.00024,2.40653,9.38583,2.15472,0.000604655,0.000604655,0.000604655
3,238.273,2.2241,8.4165,1.74048,0.00042,0.22222,0.00027,0.00011,1.73342,8.76648,1.86154,0.00089347,0.00089347,0.00089347
4,313.673,1.90743,7.20514,1.59062,0.00052,0.27778,0.00039,0.00012,2.53006,9.54883,2.44442,0.00116645,0.00116645,0.00116645
5,387.264,2.10888,7.84615,1.66137,0.00104,0.55556,0.00105,0.00042,2.09952,8.06199,1.63731,0.00142358,0.00142358,0.00142358
6,460.417,1.98684,7.57157,1.65029,0.00115,0.61111,0.00586,0.00172,2.24726,9.77544,1.59807,0.00166487,0.00166487,0.00166487
7,536.423,1.98107,6.15694,1.62006,0.00125,0.66667,0.00174,0.00092,1.96131,36.1608,1.48617,0.001703,0.001703,0.001703
8,613.71,1.85581,6.64807,1.5863,0.03508,0.05556,0.01725,0.00922,2.16199,8.1218,1.53169,0.0016535,0.0016535,0.0016535
9,692.232,1.82677,5.54349,1.48803,0.00104,0.55556,0.22586,0.0445,2.12816,6.38817,1.5026,0.001604,0.001604,0.001604
10,767.142,1.91426,5.73775,1.5765,0.21541,0.27778,0.25938,0.10628,1.87873,5.7961,1.54,0.0015545,0.0015545,0.0015545
11,843.013,1.77946,4.89959,1.49146,0.17895,0.42409,0.15321,0.06617,1.94414,6.0558,1.59246,0.001505,0.001505,0.001505
12,919.622,1.82882,4.60194,1.55923,0.17887,0.33333,0.1277,0.04316,1.82343,5.60011,1.54105,0.0014555,0.0014555,0.0014555
13,995.152,1.72025,4.75978,1.4933,0.00125,0.66667,0.12083,0.05603,1.64788,5.25715,1.40871,0.001406,0.001406,0.001406
14,1071.26,1.67211,4.23889,1.49323,0.11076,0.52607,0.12365,0.05315,1.58026,4.77145,1.34011,0.0013565,0.0013565,0.0013565
15,1147.03,1.59482,3.75072,1.47575,0.2014,0.61111,0.21039,0.08809,1.53905,4.87956,1.36522,0.001307,0.001307,0.001307
16,1221.04,1.44476,3.85167,1.37784,0.76022,0.33333,0.50161,0.27451,1.44417,3.66652,1.32669,0.0012575,0.0012575,0.0012575
17,1296.78,1.38546,3.49483,1.34865,0.66994,0.44444,0.46309,0.27283,1.41781,3.27473,1.3967,0.001208,0.001208,0.001208
18,1370.33,1.47197,3.62592,1.41917,0.76379,0.38889,0.53679,0.33418,1.33912,3.24742,1.33941,0.0011585,0.0011585,0.0011585
19,1446.92,1.44597,3.43569,1.30984,0.94282,0.38889,0.54719,0.32923,1.36021,3.09505,1.32245,0.001109,0.001109,0.001109
20,1521.82,1.38238,3.22896,1.2673,0.71475,0.5,0.59325,0.36011,1.34802,2.82195,1.25405,0.0010595,0.0010595,0.0010595
21,1597.55,1.44194,3.0562,1.34515,0.85466,0.66667,0.65652,0.41215,1.31691,2.52575,1.24273,0.00101,0.00101,0.00101
22,1671.22,1.39986,2.99324,1.2945,0.55232,0.5,0.54759,0.2621,1.64721,2.95466,1.41433,0.0009605,0.0009605,0.0009605
23,1748.31,1.25266,2.59974,1.21258,0.66636,0.38889,0.51307,0.30935,1.32324,2.84996,1.2698,0.000911,0.000911,0.000911
24,1821.45,1.37773,2.8372,1.25599,0.77245,0.37824,0.52385,0.36534,1.07821,3.0186,1.06073,0.0008615,0.0008615,0.0008615
25,1896.22,1.37201,2.85974,1.30902,1,0.32872,0.54977,0.39174,1.06998,2.87133,1.07517,0.000812,0.000812,0.000812
26,1969.25,1.25314,2.53078,1.20143,0.4942,0.66667,0.51015,0.34323,1.07502,2.69505,1.11216,0.0007625,0.0007625,0.0007625
27,2042.87,1.22425,2.59298,1.19351,0.56898,0.61111,0.58883,0.39293,1.0894,2.58486,1.15183,0.000713,0.000713,0.000713
28,2117.86,1.15902,2.34282,1.2043,0.49373,0.65064,0.56276,0.40139,1.17872,2.51555,1.1753,0.0006635,0.0006635,0.0006635
29,2192.04,1.19836,2.38984,1.20701,0.50915,0.55556,0.57817,0.4415,1.07884,2.51544,1.11832,0.000614,0.000614,0.000614
30,2265.98,1.19646,2.24887,1.21225,0.4792,0.77778,0.61034,0.45848,0.9905,2.18784,1.0804,0.0005645,0.0005645,0.0005645
31,2339.86,1.15403,3.10252,1.20988,0.5,0.72222,0.64694,0.47943,1.01113,2.14671,1.08607,0.000515,0.000515,0.000515
32,2419.37,1.30772,4.10904,1.21456,0.53275,0.72222,0.62547,0.46504,1.05689,2.16633,1.1103,0.0004655,0.0004655,0.0004655
33,2490.1,1.28639,4.03295,1.18457,0.89918,0.5,0.64945,0.51134,0.98784,2.10876,1.12403,0.000416,0.000416,0.000416
34,2562.78,1.11172,2.92027,1.20587,0.9087,0.55556,0.67617,0.53876,0.97692,2.13928,1.14475,0.0003665,0.0003665,0.0003665
35,2637.17,1.04265,2.83754,1.18645,0.91563,0.55556,0.66314,0.52143,0.94232,2.0196,1.13569,0.000317,0.000317,0.000317
36,2710,1.07906,2.79176,1.23457,0.89961,0.55556,0.65567,0.49349,0.94316,2.02719,1.11608,0.0002675,0.0002675,0.0002675
37,2803.73,1.06342,2.67218,1.18996,0.88974,0.55556,0.66267,0.52131,0.92455,2.0304,1.07554,0.000218,0.000218,0.000218
38,2897.52,1.11951,3.41457,1.14095,0.88181,0.55556,0.66715,0.53668,0.97263,2.0091,1.08383,0.0001685,0.0001685,0.0001685
39,2974.09,1.00862,2.52568,1.11468,0.89908,0.4954,0.65742,0.52391,0.9798,1.94318,1.0722,0.000119,0.000119,0.000119
40,3048.89,0.96911,2.41069,1.07322,0.70294,0.66667,0.65758,0.52554,0.96757,1.894,1.05918,6.95e-05,6.95e-05,6.95e-05
