epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5465,3.07527,9.85526,2.57211,0,0,0,0,3.83366,24.949,3.26086,6e-05,6e-05,6e-05
2,36.5664,2.84413,8.65476,2.33321,0,0,0,0,4.29594,29.8338,3.19419,0.000136535,0.000136535,0.000136535
3,55.5631,2.50214,11.0324,2.02242,0,0,0,0,3.62954,20.3473,2.93885,0.00020911,0.00020911,0.00020911
4,72.2806,2.41427,11.6286,2.18632,0,0,0,0,3.15919,17.4061,2.78195,0.000277725,0.000277725,0.000277725
5,89.1027,2.51971,9.0522,2.00097,0,0,0,0,2.70183,18.9832,2.67661,0.00034238,0.00034238,0.00034238
6,105.736,2.03917,9.2243,1.63593,0.00067,0.2,0.00584,0.00058,3.12791,18.3333,2.69126,0.000403075,0.000403075,0.000403075
7,122.699,2.10211,7.92736,1.7375,0.00067,0.2,0.00636,0.00127,2.90947,14.8066,2.69876,0.00045981,0.00045981,0.00045981
8,138.731,2.04009,6.94962,1.68886,0.00067,0.2,0.01174,0.0028,2.87752,16.3924,2.4773,0.000512585,0.000512585,0.000512585
9,154.649,1.7586,7.64217,1.52792,0.00067,0.2,0.00913,0.00274,2.69814,13.6488,2.37015,0.0005614,0.0005614,0.0005614
10,170.601,1.77421,8.45166,1.44325,0.00067,0.2,0.00041,8e-05,2.50355,13.3978,2.51685,0.000606255,0.000606255,0.000606255
11,186.882,1.68307,8.12232,1.46137,0.00067,0.2,0.00042,8e-05,2.76155,14.9402,2.42093,0.00064715,0.00064715,0.00064715
12,203.2,1.79773,6.48167,1.52284,0,0,0,0,2.88205,14.4244,2.62743,0.000684085,0.000684085,0.000684085
13,219.946,1.78119,6.27742,1.48718,0,0,0,0,2.95388,16.8021,2.46134,0.00071706,0.00071706,0.00071706
14,236.705,1.88884,6.18365,1.45014,0.00067,0.2,0.00043,0.00017,2.57298,14.5119,2.14904,0.000746075,0.000746075,0.000746075
15,253.05,1.78948,6.21612,1.45681,0,0,0,0,2.4726,14.1362,2.25728,0.00077113,0.00077113,0.00077113
16,269.002,1.84325,6.42925,1.42986,0,0,0,0,2.4726,14.1362,2.25728,0.000792225,0.000792225,0.000792225
17,285.202,1.6609,5.76818,1.35703,0,0,0,0,2.44036,19.108,2.37746,0.00080936,0.00080936,0.00080936
18,302.615,1.79791,5.00563,1.48471,0.00067,0.2,0.00051,0.00019,2.44945,16.1836,2.29064,0.000822535,0.000822535,0.000822535
19,320.143,1.55269,4.7678,1.28732,0.00067,0.2,0.00051,0.00019,2.44945,16.1836,2.29064,0.00083175,0.00083175,0.00083175
20,337.244,1.60464,5.28789,1.39105,0.00067,0.2,0.00049,0.00015,2.29066,11.715,2.29114,0.000837005,0.000837005,0.000837005
21,354.159,1.503,6.86394,1.33755,0.00067,0.2,0.00049,0.00015,2.27046,10.1067,2.54331,0.0008383,0.0008383,0.0008383
22,370.574,1.51475,4.71682,1.37548,0.00067,0.2,0.00049,0.00015,2.27046,10.1067,2.54331,0.000835635,0.000835635,0.000835635
23,387.653,1.51775,5.33566,1.45549,0.00067,0.2,0.00049,0.0002,2.43979,10.6377,2.61317,0.00082901,0.00082901,0.00082901
